GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|TAXIND|TAXIND_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|54|Professional, scientific, and technical services|541199|All other legal services|T|Taxable establishments|1997|Reference year 1997|003|All firms|1568||946349||100||264155||59988||9307|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541199|All other legal services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|55||246068||26||40015||9319||1386|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541199|All other legal services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|60||331148||35||44742||10419||1555|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541199|All other legal services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|73||432893||45.7||91250||20997||2667|
01000US|United States|1|United States|54|Professional, scientific, and technical services|541199|All other legal services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|116||550910||58.2||132818||31289||3798|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5412|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|003|All firms|97512||61117315||100||26104086||6007695||966533|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5412|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|804|4 largest firms|470||12208048||20||4745406||1044510||154655|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5412|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|808|8 largest firms|758||22004923||36||7973280||1808971||223002|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5412|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|820|20 largest firms|1646||27108366||44.4||10388306||2417617||374120|
01000US|United States|1|United States|54|Professional, scientific, and technical services|5412|Accounting, tax return prep, bookkeeping, & payroll services|T|Taxable establishments|1997|Reference year 1997|850|50 largest firms|1834||29564689||48.4||11537993||2683981||415930|
