GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|22|Utilities|2211222|Electric & other services combined (electric power distribution)|1997|Reference year 1997|820|20 largest firms|704||63983656||78.6||7114592||1886713||118469|
01000US|United States|1|United States|22|Utilities|2211222|Electric & other services combined (electric power distribution)|1997|Reference year 1997|850|50 largest firms|1289||80654333||99||9207945||2428189||167773|
01000US|United States|1|United States|22|Utilities|2211223|Other combination utilities (electric power distribution)|1997|Reference year 1997|003|All firms|30||427690||100||52051||16508||678|
01000US|United States|1|United States|22|Utilities|2211223|Other combination utilities (electric power distribution)|1997|Reference year 1997|804|4 largest firms|8||411656||96.3||46711||15358||487|
01000US|United States|1|United States|22|Utilities|2211223|Other combination utilities (electric power distribution)|1997|Reference year 1997|808|8 largest firms|12||419540||98.1||48438||15769||528|
01000US|United States|1|United States|22|Utilities|2211223|Other combination utilities (electric power distribution)|1997|Reference year 1997|820|20 largest firms|24||427235||99.9||51908||16487||671|
01000US|United States|1|United States|22|Utilities|2211223|Other combination utilities (electric power distribution)|1997|Reference year 1997|850|50 largest firms|30||427690||100||52051||16508||678|
01000US|United States|1|United States|22|Utilities|2212|Natural gas distribution|1997|Reference year 1997|003|All firms|2747||136995356||100||5109542||1287668||102878|
01000US|United States|1|United States|22|Utilities|2212|Natural gas distribution|1997|Reference year 1997|804|4 largest firms|241||46663259||34.1||712954||178374||12278|
01000US|United States|1|United States|22|Utilities|2212|Natural gas distribution|1997|Reference year 1997|808|8 largest firms|560||66331770||48.4||1289570||330201||25100|
01000US|United States|1|United States|22|Utilities|2212|Natural gas distribution|1997|Reference year 1997|820|20 largest firms|923||93969587||68.6||2001307||527096||38387|
01000US|United States|1|United States|22|Utilities|2212|Natural gas distribution|1997|Reference year 1997|850|50 largest firms|1574||118152483||86.2||3879623||992688||76298|
01000US|United States|1|United States|22|Utilities|22121|Natural gas distribution|1997|Reference year 1997|003|All firms|2747||136995356||100||5109542||1287668||102878|
01000US|United States|1|United States|22|Utilities|22121|Natural gas distribution|1997|Reference year 1997|804|4 largest firms|241||46663259||34.1||712954||178374||12278|
01000US|United States|1|United States|22|Utilities|22121|Natural gas distribution|1997|Reference year 1997|808|8 largest firms|560||66331770||48.4||1289570||330201||25100|
01000US|United States|1|United States|22|Utilities|22121|Natural gas distribution|1997|Reference year 1997|820|20 largest firms|923||93969587||68.6||2001307||527096||38387|
01000US|United States|1|United States|22|Utilities|22121|Natural gas distribution|1997|Reference year 1997|850|50 largest firms|1574||118152483||86.2||3879623||992688||76298|
01000US|United States|1|United States|22|Utilities|221210|Natural gas distribution|1997|Reference year 1997|003|All firms|2747||136995356||100||5109542||1287668||102878|
01000US|United States|1|United States|22|Utilities|221210|Natural gas distribution|1997|Reference year 1997|804|4 largest firms|241||46663259||34.1||712954||178374||12278|
01000US|United States|1|United States|22|Utilities|221210|Natural gas distribution|1997|Reference year 1997|808|8 largest firms|560||66331770||48.4||1289570||330201||25100|
01000US|United States|1|United States|22|Utilities|221210|Natural gas distribution|1997|Reference year 1997|820|20 largest firms|923||93969587||68.6||2001307||527096||38387|
01000US|United States|1|United States|22|Utilities|221210|Natural gas distribution|1997|Reference year 1997|850|50 largest firms|1574||118152483||86.2||3879623||992688||76298|
01000US|United States|1|United States|22|Utilities|2212101|Natural gas transmission & distribution (distribution)|1997|Reference year 1997|003|All firms|713||18266506||100||1534377||381259||29039|
