GEO_ID|GEOGRAPHY|GEOTYPE|GEOTYPE_MEANING|SECTOR|SECTOR_MEANING|OPTYPE|OPTYPE_MEANING|NAICS|NAICS_MEANING|YEAR|YEAR_MEANING|CONCENFI|CONCENFI_MEANING|ESTAB|ESTABF|ECVALUE|ECVALUEF|VALPCT|VALPCTF|PAY|PAYF|PAY1Q|PAY1QF|EMP|EMPF 
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42112|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|808|8 largest firms|378||22772681||27.4||1061992||262745||25928|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42112|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|820|20 largest firms|505||31716946||38.1||1240670||305139||29838|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|42112|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|850|50 largest firms|742||40704951||48.9||1548620||379575||37177|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421120|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|003|All firms|12620|r|83214728|r|100||5065064|r|1194084|r|156038|r
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421120|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|804|4 largest firms|350||15415739||18.5||942704||234475||23128|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421120|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|808|8 largest firms|378||22772681||27.4||1061992||262745||25928|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421120|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|820|20 largest firms|505||31716946||38.1||1240670||305139||29838|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|421120|Motor vehicle supplies & new parts whsle|1997|Reference year 1997|850|50 largest firms|742||40704951||48.9||1548620||379575||37177|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211201|Motor vehicle supplies & new parts - warehouse distributors|1997|Reference year 1997|003|All firms|5095|r|30313120|r|100||2002699|r|463650|r|67362|r
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211201|Motor vehicle supplies & new parts - warehouse distributors|1997|Reference year 1997|804|4 largest firms|150||4744851||15.7||147693||37695||5356|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211201|Motor vehicle supplies & new parts - warehouse distributors|1997|Reference year 1997|808|8 largest firms|189||7367347||24.3||236098||57807||7518|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211201|Motor vehicle supplies & new parts - warehouse distributors|1997|Reference year 1997|820|20 largest firms|263||11576727||38.2||348476||83619||10096|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211201|Motor vehicle supplies & new parts - warehouse distributors|1997|Reference year 1997|850|50 largest firms|483||15490119||51.1||540487||127447||16474|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211202|Motor vehicle supplies & new parts - jobbers|1997|Reference year 1997|003|All firms|6942||51468506||100||2905299||693404||84003|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211202|Motor vehicle supplies & new parts - jobbers|1997|Reference year 1997|804|4 largest firms|66||14991391||29.1||803468||196570||16167|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211202|Motor vehicle supplies & new parts - jobbers|1997|Reference year 1997|808|8 largest firms|246||20279741||39.4||914556||225948||20424|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211202|Motor vehicle supplies & new parts - jobbers|1997|Reference year 1997|820|20 largest firms|270||25157966||48.9||1013415||249175||21948|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211202|Motor vehicle supplies & new parts - jobbers|1997|Reference year 1997|850|50 largest firms|542||30699947||59.6||1277677||312450||28902|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211203|Petroleum products marketing equipment whsle|1997|Reference year 1997|003|All firms|583||1433102||100||157066||37030||4673|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211203|Petroleum products marketing equipment whsle|1997|Reference year 1997|804|4 largest firms|17||222236||15.5||11979||3318||270|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211203|Petroleum products marketing equipment whsle|1997|Reference year 1997|808|8 largest firms|25||322564||22.5||18672||4756||410|
01000US|United States|1|United States|42|Wholesale trade|00|Wholesale trade|4211203|Petroleum products marketing equipment whsle|1997|Reference year 1997|820|20 largest firms|54||522520||36.5||37139||9556||886|
