year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1982,f) 500 to 999,5865,61085,3566341,3551223,4542,7.538,2874,4.770,462025,115501,346524,3.252,13.010,431068,89170,341898,2.511,12.139,30957,0.872,24.277,13,62,17910
1982,g) 1000 to 2499,3938,76643,5047939,5010528,5969,7.873,4315,5.691,595909,173879,422030,3.470,11.893,519156,121954,397202,2.434,10.361,76753,1.532,20.723,7,8,22954
1982,h) 2500 to 4999,1496,59880,3664458,3660283,4757,8.055,3113,5.271,433473,136718,296755,3.735,11.843,421328,99367,321961,2.715,11.511,12145,0.332,23.022,0,0,0
1982,i) 5000 to 9999,907,69170,3973754,3986167,5841,8.532,4418,6.454,467852,162245,305607,4.070,11.737,493800,129157,364643,3.240,12.388,-25948,-0.651,23.474,0,0,0
1982,j) 10000+,969,263271,18873457,19217818,22631,8.651,19313,7.382,1989954,585227,1404727,3.045,10.355,2671542,579578,2091964,3.016,13.901,-681588,-3.547,20.709,0,0,0
1983,a) 1 to 4,2286552,2294893,5451327,5327610,489918,21.764,402297,17.871,1876696,1267283,609413,23.787,35.226,1628639,1019524,609115,19.137,30.570,248057,4.656,61.140,319547,321088,839532
1983,b) 5 to 9,731779,753070,5176847,5145937,39860,5.317,33125,4.418,1122947,468278,654669,9.100,21.822,1061912,399391,662521,7.761,20.636,61035,1.186,41.272,25818,27162,342498
1983,c) 10 to 19,424805,466247,5947405,5950170,19827,4.263,17557,3.775,1110595,399804,710791,6.719,18.665,1116325,356070,760255,5.984,18.761,-5730,-0.096,37.330,11172,12513,300092
1983,d) 20 to 99,337193,471249,13346360,13391553,22375,4.757,20540,4.367,2224321,659643,1564678,4.926,16.610,2311710,597986,1713724,4.465,17.262,-87389,-0.653,33.220,6086,8138,432547
1983,e) 100 to 499,51940,195591,9772674,9840942,14074,7.210,13273,6.800,1531947,433291,1098656,4.403,15.567,1667320,372144,1295176,3.782,16.943,-135373,-1.376,31.134,403,1134,132755
1983,f) 500 to 999,6082,61188,3535555,3564180,4626,7.581,4292,7.034,479700,134012,345688,3.760,13.459,537293,105916,431377,2.972,15.075,-57593,-1.616,26.918,5,5,6796
1983,g) 1000 to 2499,3984,75665,4925104,4929036,6324,8.395,5652,7.503,618816,216463,402353,4.392,12.555,627541,148642,478899,3.016,12.732,-8725,-0.177,25.109,5,6,16057
1983,h) 2500 to 4999,1584,60665,3618621,3666909,4891,8.124,3965,6.586,442843,150352,292491,4.100,12.077,540668,119631,421037,3.262,14.745,-97825,-2.668,24.153,D,D,D
1983,i) 5000 to 9999,991,67791,3959869,3981336,4896,7.212,5080,7.483,545775,192962,352813,4.847,13.708,589295,154986,434309,3.893,14.801,-43520,-1.093,27.417,D,D,D
1983,j) 10000+,1082,265660,18247973,18617005,17440,6.489,23630,8.792,2280898,558758,1722140,3.001,12.252,3032163,834981,2197182,4.485,16.287,-751265,-4.035,24.503,0,0,0
1984,a) 1 to 4,2392550,2400723,5831876,5523455,556413,23.955,400464,17.241,2186091,1462820,723271,26.484,39.578,1565043,1010396,554647,18.293,28.334,621048,11.244,56.669,322871,324645,839071
1984,b) 5 to 9,760896,782921,5548219,5343023,41192,5.291,32380,4.159,1356868,513096,843772,9.603,25.395,947120,387190,559930,7.247,17.726,409748,7.669,35.453,24954,26357,331451
1984,c) 10 to 19,439240,481200,6390686,6159449,18455,3.843,16398,3.415,1389077,418124,970953,6.788,22.552,926237,342760,583477,5.565,15.038,462840,7.514,30.075,10833,12228,291621
1984,d) 20 to 99,349453,483617,14468674,13892265,19801,4.108,16591,3.442,2878386,659795,2218591,4.749,20.719,1725676,546931,1178745,3.937,12.422,1152710,8.297,24.844,5681,7153,402745
1984,e) 100 to 499,53874,201289,10589251,10215042,14717,7.389,10513,5.278,1922195,425904,1496291,4.169,18.817,1172384,316279,856105,3.096,11.477,749811,7.340,22.954,381,695,128012
1984,f) 500 to 999,6085,64219,3805330,3678020,5156,8.131,3538,5.580,609845,160982,448863,4.377,16.581,356440,86637,269803,2.356,9.691,253405,6.890,19.382,9,9,12370
1984,g) 1000 to 2499,4005,79319,5148225,5034454,7019,9.003,4314,5.533,681966,190525,491441,3.784,13.546,458605,113244,345361,2.249,9.109,223361,4.437,18.219,6,25,16748
1984,h) 2500 to 4999,1618,60610,3878522,3761655,5271,8.855,3098,5.205,610722,195330,415392,5.193,16.235,375479,104187,271292,2.770,9.982,235243,6.254,19.964,3,3,21529
1984,i) 5000 to 9999,954,70088,4028732,3945416,5837,8.476,3397,4.933,560086,189762,370324,4.810,14.196,392058,87408,304650,2.215,9.937,168028,4.259,19.874,0,0,0
1984,j) 10000+,984,279692,19050175,18727334,24903,9.009,18382,6.650,2702011,1008721,1693290,5.386,14.428,2051800,633325,1418475,3.382,10.956,650211,3.472,21.912,D,D,D
1985,a) 1 to 4,2400409,2408261,5867461,5690377,540486,22.793,466436,19.671,2151226,1433646,717580,25.194,37.805,1792325,1197267,595058,21.040,31.497,358901,6.307,62.995,375276,377467,992173
1985,b) 5 to 9,788375,809844,5689380,5585513,42973,5.314,40606,5.021,1350468,535144,815324,9.581,24.178,1142897,499687,643210,8.946,20.462,207571,3.716,40.924,31993,33648,425510
1985,c) 10 to 19,456347,496292,6558664,6450604,19798,3.986,20594,4.146,1369402,440059,929343,6.822,21.229,1153171,471130,682041,7.304,17.877,216231,3.352,35.754,14695,16242,397816
1985,d) 20 to 99,365441,496405,14977267,14722197,18253,3.675,18856,3.796,2769513,688665,2080848,4.678,18.812,2259021,840810,1418211,5.711,15.344,510492,3.467,30.689,8929,11073,653345
1985,e) 100 to 499,57035,208519,11198062,10910200,14559,7.054,10331,5.005,1986349,456356,1529993,4.183,18.206,1410473,451606,958867,4.139,12.928,575876,5.278,25.856,713,1679,247891
1985,f) 500 to 999,6386,64625,3965721,3872257,5773,9.037,4285,6.708,672692,180346,492346,4.657,17.372,482784,150715,332069,3.892,12.468,189908,4.904,24.936,38,489,51559
