GEOTYPE|ST|GEO_ID|GEO_TTL|SECTOR|NAICS2012|NAICS2012_TTL|CONCENFI|CONCENFI_TTL|FOOTID_NAICS|FOOTID_GEO|YEAR|ESTAB|ESTAB_F|RCPTOT|RCPTOT_F|VAL_PCT|VAL_PCT_F|PAYANN|PAYANN_F|PAYQTR1|PAYQTR1_F|EMP|EMP_F
01|00|0100000US|United States|72|722515|Snack and nonalcoholic beverage bars|850|50 largest firms|||2012|10903||14027317||45.3||3219405||761211||198142|
01|00|0100000US|United States|72|7225151|Ice cream and soft serve shops|001|All firms|||2012|11066||3717047||100.0||875736||185242||93006|
01|00|0100000US|United States|72|7225151|Ice cream and soft serve shops|804|4 largest firms|||2012|363||618070||16.6||124219||29662||10916|
01|00|0100000US|United States|72|7225151|Ice cream and soft serve shops|808|8 largest firms|||2012|403||667990||18.0||136751||31484||11587|
01|00|0100000US|United States|72|7225151|Ice cream and soft serve shops|820|20 largest firms|||2012|475||759852||20.4||159675||36815||13120|
01|00|0100000US|United States|72|7225151|Ice cream and soft serve shops|850|50 largest firms|||2012|591||877072||23.6||189127||43207||15200|
01|00|0100000US|United States|72|7225152|Frozen yogurt shops|001|All firms|||2012|3615||998686||100.0||228778||44647||22459|
01|00|0100000US|United States|72|7225152|Frozen yogurt shops|804|4 largest firms|||2012|47||32042||3.2||6351||1410||307|
01|00|0100000US|United States|72|7225152|Frozen yogurt shops|808|8 largest firms|||2012|61||59429||6.0||13759||3193||665|
01|00|0100000US|United States|72|7225152|Frozen yogurt shops|820|20 largest firms|||2012|129||106861||10.7||24595||5166||1483|
01|00|0100000US|United States|72|7225152|Frozen yogurt shops|850|50 largest firms|||2012|215||168486||16.9||38806||8396||2905|
01|00|0100000US|United States|72|7225153|Doughnut shops|001|All firms|||2012|8736||4865055||100.0||1153964||272300||83972|
01|00|0100000US|United States|72|7225153|Doughnut shops|804|4 largest firms|||2012|238||331167||6.8||82252||19864||4587|
01|00|0100000US|United States|72|7225153|Doughnut shops|808|8 largest firms|||2012|305||419444||8.6||102417||24687||5964|
01|00|0100000US|United States|72|7225153|Doughnut shops|820|20 largest firms|||2012|436||597836||12.3||131028||31483||8127|
01|00|0100000US|United States|72|7225153|Doughnut shops|850|50 largest firms|||2012|700||878834||18.1||198468||48249||12809|
01|00|0100000US|United States|72|7225154|Bagel shops|001|All firms|||2012|2349||1407746||100.0||342111||80746||22900|
01|00|0100000US|United States|72|7225154|Bagel shops|804|4 largest firms|||2012|637||549475||39.0||131246||29902||8866|
01|00|0100000US|United States|72|7225154|Bagel shops|808|8 largest firms|||2012|661||581298||41.3||139629||31945||9307|
